student_id,first_name,last_name,gender,year_of_study,date_of_birth,gpa
48,Amy,Matthews,Male,1,2004-10-06,2.34
49,Joshua,Nguyen,Male,4,2000-09-02,2.23
50,Roy,Anderson,Female,3,2003-06-07,3.23
51,Samantha,Matthews,Female,1,2006-12-06,2.71
52,Jake,Wiggins,Male,3,2005-05-12,3.4
53,Victoria,Aguirre,Male,2,2002-06-04,2.11
54,William,Ray,Male,4,1998-04-19,3.32
55,Keith,Larsen,Male,3,1994-08-17,2.31
56,Stephen,Johnson,Other,2,2005-11-18,3.21
57,Joseph,Johnson,Male,3,2000-03-09,3.49
58,Richard,Phillips,Male,4,2000-06-24,3.85
59,Megan,Kennedy,Male,1,1995-06-15,3.13
60,Melissa,Sampson,Female,2,1993-07-09,2.28
61,Stacy,Jackson,Female,4,2000-01-11,3.45
62,Andrea,Johnson,Other,4,2006-01-19,2.53
63,Taylor,Galvan,Other,1,1993-01-26,3.32
64,Aaron,Olson,Other,1,1995-02-14,3.92
65,Thomas,Ashley,Other,1,1998-03-26,2.65
66,Kelsey,Smith,Male,4,1999-09-06,2.93
67,Alice,Gutierrez,Female,4,1996-06-13,3.79
68,Robert,Taylor,Other,4,2001-07-26,3.43
69,Jamie,Shea,Male,4,2005-06-04,2.76
70,Joann,Gutierrez,Female,1,2006-05-08,3.76
71,Sheila,Zuniga,Male,1,1998-04-25,2.45
72,William,Wade,Other,4,1996-03-01,3.73
73,Erica,Johnson,Male,1,1997-03-21,
74,Jeremy,Miller,Male,4,2006-08-01,2.67
75,James,Brandt,Male,2,1993-05-29,2.49
76,Craig,Lyons,Male,3,2005-04-30,3.71
77,Mark,Turner,Other,3,2007-05-18,3.92
78,Nancy,Lee,Male,2,2000-08-24,3.55
79,Troy,Johnson,Other,2,1993-05-22,2.32
80,Nicole,Villanueva,Other,4,1996-10-28,2.03
81,Patrick,Davis,Male,2,2002-12-15,3.7
82,Daniel,Rodriguez,Male,1,2003-07-18,2.38
83,Kimberly,Gonzalez,Female,1,2001-11-20,2.45
84,Maurice,Juarez,Male,4,2006-11-05,2.58
85,Alexander,Wilkins,Other,2,2006-04-19,2.84
86,Katelyn,Wells,Other,1,1993-01-04,3.04
87,Carrie,Ruiz,Female,1,1997-04-30,3.33
88,Samuel,Stanley,Other,3,1993-05-15,2.01
89,Gary,Harrington,Female,3,2003-07-15,2.01
90,Patrick,Farmer,Other,3,1996-10-10,3.33
91,Sarah,Morse,Male,2,2000-08-18,2.52
92,Amanda,Ortega,Female,4,1996-06-10,3.61
93,Trevor,Hester,Male,2,1998-09-07,3.12
94,Mike,Miller,Male,3,1999-08-06,2.63
95,Christopher,Cook,Other,2,1996-09-17,3.56
96,Sarah,Williams,Male,4,2002-10-08,3.42
97,James,Ware,Male,1,2006-06-07,2.15
98,Joseph,Alexander,Other,2,2001-03-02,3.33
99,Terri,Cox,Female,1,2006-01-17,3.22
100,Russell,Clark,Male,4,2004-07-31,2.04
101,Patrick,Mays,Female,1,2004-10-17,3.97
102,Darryl,Pearson,Female,2,1993-12-09,3.89
103,Daniel,Rice,Other,1,1996-11-04,3.29
104,Derek,Ballard,Other,3,1994-11-28,2.84
105,Sarah,Moore,Female,4,2002-07-13,2.92
106,Jason,Walters,Female,3,2003-01-10,
107,Eric,Wilson,Other,2,2000-08-17,3.07
108,David,Carson,Male,3,2007-07-27,2.32
109,Jonathan,Lawson,Other,1,1996-09-01,2.18
110,Kaylee,Lopez,Female,2,1994-02-18,3.73
111,Robert,Holden,Other,4,2002-05-25,2.25
112,Shannon,Chavez,Male,3,1999-08-30,2.35
113,Steven,Myers,Male,4,2006-08-14,2.72
114,Adam,Nelson,Female,2,1999-07-20,3.76
115,Peter,Patterson,Male,2,2007-07-30,2.11
116,Timothy,Zuniga,Female,2,1993-10-18,3.41
117,Ryan,Ali,Female,4,1993-06-27,3.23
118,Joanne,Lopez,Other,1,1996-02-16,2.44
119,Robert,Pena,Other,3,1996-09-29,3.62
120,Jody,Hamilton,Female,2,2001-11-07,2.55
121,Leroy,Brown,Other,2,1998-01-29,3.59
122,Douglas,Suarez,Female,2,2004-10-06,3.82
123,Anna,Nolan,Female,2,2003-11-05,2.87
124,John,Parrish,Female,1,1996-01-09,3.87
125,Robert,Tucker,Other,1,1999-04-27,3.4
126,Katherine,Mccarthy,Female,2,2002-11-08,3.48
127,Craig,Martin,Female,1,1997-11-12,3.68
128,William,Pitts,Male,4,1993-02-11,3.83
129,Jessica,Smith,Other,4,1997-06-02,2.65
130,Eileen,Hart,Other,4,1993-08-01,3.0
131,Theresa,Brown,Other,4,2002-07-19,3.75
132,Joshua,Hall,Male,1,2000-08-03,2.32
133,Dawn,Hoffman,Female,1,1997-02-05,3.43
134,Rebecca,Wise,Male,1,2004-02-04,3.68
135,Paula,Bridges,Male,2,1999-08-27,3.85
136,Diana,Rodriguez,Other,4,1993-06-13,2.52
137,Jacob,Flynn,Female,4,2007-09-09,2.73
138,Angelica,Harrington,Male,4,1995-07-29,2.93
139,Zachary,Pierce,Female,1,1993-11-13,2.49
140,Paul,Walton,Male,4,1999-04-28,3.02
141,Mary,Williams,Other,2,1994-11-01,2.84
142,William,Mcintosh,Male,3,1995-09-30,3.1
143,Elizabeth,Edwards,Female,2,2000-07-22,3.75
144,Sarah,Davis,Female,4,2001-11-28,2.24
145,Kristina,Gutierrez,Female,4,2007-02-28,2.86
146,Michael,York,Other,2,1997-07-09,2.79
147,Eric,Watson,Other,3,2006-10-17,3.56
148,Lee,Allen,Male,3,1997-10-22,2.09
149,Matthew,Lee,Male,2,2004-01-19,3.19
150,Kristina,Gomez,Male,2,1994-03-21,
151,Erik,Osborne,Female,2,2006-02-03,3.2
152,Rachel,Savage,Female,3,2000-10-09,
153,Melissa,Small,Female,2,2007-07-19,3.74
154,Ryan,Houston,Female,2,1996-03-04,3.16
155,Wendy,Melendez,Other,3,1994-12-06,2.17
156,John,Butler,Other,2,1997-06-11,2.99
157,Kevin,Smith,Female,4,2000-11-24,2.2
158,Sarah,Nelson,Other,4,1994-10-14,2.97
159,Gary,Patton,Male,4,1995-02-08,2.66
160,Courtney,Rogers,Other,4,2003-06-04,3.66
161,Rachael,Murphy,Other,2,1993-03-17,2.3
162,Nicholas,Shepard,Other,3,2005-01-13,3.04
163,Christopher,Duncan,Male,3,1996-10-08,3.63
164,Corey,Wilson,Female,2,1999-03-03,2.95
165,Vanessa,Franco,Female,4,2001-02-24,2.33
166,Angela,Patton,Female,1,2006-02-24,2.44
167,Stephanie,Brown,Male,4,2003-09-23,2.61
168,Jessica,Fitzgerald,Male,2,2000-08-02,2.3
169,Billy,Booker,Other,3,1997-09-30,3.75
170,Harold,Vincent,Other,3,1997-10-06,2.82
171,Devin,Payne,Female,4,1993-06-30,3.24
172,Deborah,Davis,Male,3,1994-06-15,3.05
173,Marie,Valdez,Female,3,2003-08-29,2.83
174,Jeremy,White,Male,4,2002-02-13,3.02
175,Jessica,Brown,Female,3,2003-12-18,3.13
176,Monique,Cross,Female,4,2005-04-12,3.32
177,Jonathan,Smith,Male,1,2002-08-28,3.84
178,Vanessa,Bradley,Other,2,1993-06-04,3.01
179,Bonnie,Johnson,Other,1,2007-05-13,3.97
180,Billy,Mason,Other,3,1999-11-02,2.63
181,Lucas,Scott,Female,1,2007-02-15,3.64
182,Tammy,Murphy,Female,4,1996-08-25,2.56
183,Christina,Scott,Female,3,2002-12-04,2.01
184,Richard,Wilkins,Male,4,1998-06-17,2.54
185,Alexandra,Long,Female,3,2007-01-30,3.98
186,Margaret,Cummings,Male,4,2002-01-17,3.1
187,Angela,Frank,Female,1,2000-12-12,3.97
188,Andrew,Byrd,Male,3,2001-02-14,2.01
189,Henry,Coleman,Female,2,2007-09-28,3.49
190,Kevin,Tate,Other,2,1996-07-27,2.56
191,Melissa,Reed,Other,1,2000-12-12,3.9
192,Steven,Esparza,Female,4,1998-09-02,
193,Jennifer,Sullivan,Other,4,1997-05-18,2.08
194,Theresa,Rangel,Other,3,1995-05-16,
195,Kelly,Price,Female,2,1999-06-01,2.02
196,Samantha,Robbins,Male,1,1995-09-04,3.44
197,Caitlin,Greer,Male,4,2006-01-17,3.13
198,Zachary,Chase,Male,1,2003-01-10,2.73
199,Jason,Deleon,Male,1,2005-12-14,2.73
200,Brittany,Robinson,Male,3,2000-02-15,2.19
201,Daniel,King,Female,4,2007-07-29,2.17
202,Maria,Harris,Female,3,1999-01-12,3.64
203,Mary,Brown,Male,2,2007-11-05,3.12
204,Jennifer,Ramirez,Male,4,2004-03-28,2.14
205,Justin,Campbell,Female,4,2002-10-12,3.49
206,Herbert,Webb,Other,4,2007-10-05,3.57
207,Brian,Jimenez,Male,3,2004-09-05,2.57
208,Crystal,Ramsey,Male,3,2006-03-07,2.89
209,Stephanie,Smith,Male,1,1993-10-13,3.77
210,Jason,Chavez,Female,2,1995-01-15,3.22
211,Tammy,Baker,Female,2,1996-01-24,2.41
212,Cody,Mullins,Male,3,1996-01-21,2.63
213,Megan,Peters,Female,2,1995-01-19,2.05
214,Jeremy,Williams,Female,1,2001-11-16,3.93
215,Elizabeth,Morris,Female,4,2002-11-01,3.56
216,Renee,Hunter,Other,2,1997-03-07,3.72
217,David,Morales,Female,1,1993-12-15,2.34
218,John,Dorsey,Other,1,2005-01-27,2.75
219,Karen,Young,Male,2,1998-04-11,3.78
220,Laura,Rodriguez,Male,1,2000-10-09,2.24
221,Nicole,Newman,Male,3,1995-06-11,2.84
222,Melissa,Merritt,Female,4,2003-07-22,3.82
223,Andrew,Jacobs,Female,3,2006-08-30,3.85
224,Jessica,Brown,Male,4,2000-01-20,3.91
225,Lisa,Gonzalez,Male,3,2001-06-28,3.03
226,Adriana,Johnson,Female,1,1994-08-24,3.25
227,Gregory,Hampton,Female,2,1995-05-07,2.04
228,Jeffrey,Willis,Male,1,1997-03-29,2.5
229,Joseph,Jacobs,Other,2,2004-05-17,2.27
230,Michelle,Webb,Other,1,2007-08-27,2.59
231,Eric,Elliott,Female,2,2004-03-25,2.54
232,Brian,Aguilar,Other,3,2003-05-23,3.64
233,Caleb,Nielsen,Other,2,2007-10-12,2.35
234,Rebecca,Esparza,Male,2,2001-03-31,3.02
235,James,Lester,Female,3,1996-02-29,2.95
236,Ricky,Martinez,Female,2,2003-11-25,2.26
237,Candace,Garcia,Other,4,2007-02-11,2.91
238,Ryan,Garrett,Female,2,2003-10-23,2.07
239,Elizabeth,Simmons,Other,2,2005-08-19,2.96
240,Samantha,Alvarado,Male,4,1993-03-06,2.09
241,Shelby,Torres,Male,1,1994-09-07,2.95
242,Brandi,Peters,Male,4,2003-07-28,3.35
243,Leslie,Mcdonald,Male,4,1997-04-02,2.17
244,Christina,Cantrell,Male,3,2003-11-19,3.07
245,Nathaniel,Williams,Other,2,1998-11-06,2.4
246,Nancy,Hughes,Male,3,2003-12-17,3.23
247,Michael,Lyons,Male,2,2004-03-26,3.37
248,Zachary,Taylor,Female,3,1999-07-19,2.18
249,Michelle,Wilson,Other,4,2004-06-05,3.35
250,Jason,Foster,Male,3,1996-01-02,3.79
251,Jessica,Hart,Female,2,2000-10-27,2.54
252,Jennifer,Diaz,Male,2,2002-11-09,3.05
253,William,Williams,Male,2,1994-02-26,2.7
254,Michelle,Sanchez,Female,4,1993-09-23,2.98
255,Marcus,Alvarado,Other,1,1999-01-12,2.68
256,Christopher,Pena,Male,4,2002-11-20,3.48
257,Christopher,Villanueva,Female,2,2007-02-24,3.68
258,Randy,Burke,Female,2,1994-09-30,3.5
259,Donna,Mcmillan,Female,3,2002-07-16,3.81
260,Brenda,Cabrera,Male,1,1996-08-02,2.1
261,Victor,Gross,Male,4,1998-06-08,2.98
262,Jose,Harrison,Female,3,1996-11-03,
263,Lisa,Johnson,Other,1,2003-02-03,3.72
264,Joel,Wood,Female,3,2007-09-17,2.0
265,Dennis,Riddle,Other,4,2003-04-03,2.66
266,Adam,Snyder,Other,2,1997-07-15,2.08
267,Brenda,Bauer,Male,2,2004-02-19,3.2
268,Elizabeth,Miller,Male,2,1998-07-04,3.1
269,Janet,Clark,Other,1,2001-10-12,3.25
270,John,Morris,Male,1,2002-01-15,3.14
271,Daniel,Carroll,Female,3,1996-11-06,2.6
272,Devin,Hamilton,Female,1,1998-09-11,3.12
273,Sara,Arias,Male,1,2001-02-19,2.3
274,Richard,James,Other,1,1998-07-16,3.27
275,Sean,Moore,Other,1,2005-08-17,3.85
276,Barry,Taylor,Male,3,2007-01-20,2.59
277,Shane,Silva,Male,1,2005-01-16,
278,John,Morrison,Male,2,1999-11-30,3.41
279,Ryan,Martin,Other,4,2006-03-23,3.36
280,Cindy,Tyler,Male,4,2000-07-27,3.29
281,Mark,Wiley,Other,3,1995-11-20,3.06
282,Scott,Hendrix,Male,1,2004-04-01,3.11
283,Brian,Arnold,Other,1,2000-06-23,3.37
284,Michael,Hensley,Other,3,1993-05-21,2.44
285,Jason,Lewis,Male,3,1994-10-08,2.83
286,Kimberly,Fisher,Other,4,1998-06-07,3.35
287,Sara,Cohen,Other,3,2004-03-20,2.65
288,Michael,Glenn,Male,1,2001-07-20,3.76
289,Michael,Rangel,Other,4,2003-04-24,3.17
290,John,Leblanc,Male,2,2004-07-04,3.7
291,Paul,Kelley,Female,4,1999-11-30,2.68
292,Andrea,Leblanc,Other,4,2000-09-08,3.97
293,Randy,Davidson,Other,3,1999-02-20,3.54
294,Joshua,Kelly,Male,3,2006-05-15,2.1
295,Marcia,Alvarez,Male,2,2004-07-01,2.66
296,Eric,Reed,Other,4,2007-07-29,3.64
297,Karen,Duncan,Other,1,1999-07-31,3.73
298,Matthew,Hart,Female,3,1995-09-29,2.26
299,Jamie,Price,Other,1,2002-09-20,2.78
300,Joseph,Knight,Male,4,1998-09-05,3.22
301,Angel,Jordan,Female,2,2003-01-11,2.58
302,Cynthia,Richardson,Female,4,1995-10-02,3.03
303,Connor,Adams,Male,4,1995-08-10,2.08
304,Bradley,Perez,Other,4,1996-07-01,2.42
305,Elizabeth,Austin,Female,2,2007-01-22,2.7
306,Becky,Ramirez,Other,1,2003-07-28,3.71
307,Ryan,Martinez,Female,4,1997-12-27,3.2
308,Shelly,Davis,Male,4,1993-11-30,3.74
309,Scott,Rosario,Female,4,2005-10-24,3.42
310,Mary,Rhodes,Female,1,1996-08-26,2.9
311,Rebecca,Johnson,Male,2,1996-12-16,2.49
312,Maria,Mclean,Male,3,1993-04-26,2.99
313,Ivan,Schroeder,Male,4,2007-04-09,2.72
314,Matthew,Reed,Other,2,2001-11-06,3.43
315,John,Sherman,Other,3,1999-07-16,2.32
316,Kimberly,Steele,Female,2,2005-01-20,2.85
317,Jenna,Lopez,Male,4,2004-07-18,
318,James,Moreno,Male,4,1995-12-18,2.39
319,Rebecca,Dennis,Other,3,2001-12-24,3.65
320,Kevin,Donaldson,Female,2,2004-11-17,3.99
321,Amanda,Osborn,Male,3,1995-03-26,2.89
322,Madison,Sims,Male,1,2002-11-01,2.66
323,Crystal,Padilla,Male,1,1994-11-05,
324,Timothy,Martin,Other,3,2004-10-01,3.65
325,Tammy,Contreras,Other,2,1997-09-09,3.36
326,Jennifer,Bartlett,Male,2,2000-03-23,3.46
327,Lori,Jennings,Female,2,2000-08-19,3.62
328,Amanda,Carlson,Other,2,2003-10-06,3.78
329,Kristen,Petersen,Female,3,2006-05-10,2.82
330,Christopher,Dunn,Male,2,2001-08-06,3.4
331,Maria,Ruiz,Other,2,2002-03-29,2.6
332,Ariel,Carter,Female,3,2001-05-09,2.17
333,Jeremy,Gonzales,Female,2,2007-06-05,3.37
334,Kevin,Miller,Male,1,2003-06-26,2.35
335,Timothy,Shields,Other,4,1993-03-21,3.66
336,Jason,Vega,Male,2,2001-10-11,2.66
337,John,Lee,Female,1,1995-09-02,2.41
338,Lauren,Singleton,Female,1,1997-07-07,2.44
339,Steven,Sandoval,Female,2,1993-09-21,2.81
340,Emily,Erickson,Female,1,2001-12-05,3.51
341,Christopher,Burns,Female,1,1995-02-25,3.02
342,Robert,Bryant,Female,3,2004-04-05,2.36
343,Christian,Davis,Other,4,2002-07-27,3.24
344,Austin,Lewis,Male,4,1997-04-19,3.48
345,Joel,Stone,Other,4,2004-07-04,2.9
346,Melinda,Page,Male,3,2001-12-25,2.6
347,David,Forbes,Male,4,1998-01-03,3.93
348,Anthony,Wilson,Other,3,1998-05-23,
349,Alexandria,Marquez,Male,1,1998-04-08,2.29
350,Pamela,Lewis,Other,1,2004-05-16,
351,Robert,Martin,Other,4,1993-07-13,3.1
352,Chad,Hernandez,Other,3,2007-01-27,2.5
353,Mike,Willis,Other,2,1997-04-18,2.75
354,James,Anderson,Other,3,1994-10-04,3.17
355,Wendy,Fernandez,Male,2,2004-01-08,3.35
356,Kim,Murphy,Male,4,2004-08-30,3.21
357,Steven,Brock,Male,1,1994-06-14,2.65
358,Julie,Hall,Other,4,2004-08-14,2.55
359,Andrew,Lopez,Female,1,2005-06-10,2.31
360,Jessica,Nunez,Female,2,2000-06-04,3.88
361,Aaron,Reynolds,Female,4,2004-05-18,3.61
362,Shelley,Duran,Other,3,2001-09-03,3.71
363,Stephen,Day,Other,4,1999-06-28,2.76
364,Natalie,Morales,Female,4,2000-12-19,3.69
365,Edward,Jones,Other,2,1995-12-01,2.77
366,Kyle,Hamilton,Female,1,2005-12-15,3.91
367,Vanessa,Fernandez,Other,3,1995-04-20,2.22
368,Timothy,Green,Other,1,1994-02-19,3.38
369,John,Weber,Female,1,1995-10-21,3.75
370,Michele,Doyle,Female,3,2000-10-23,2.63
371,Donna,Thompson,Male,1,2002-03-15,3.57
372,Michael,Lee,Female,2,2000-05-12,2.52
373,Kathy,Huffman,Other,3,1998-05-16,2.71
374,Robert,Smith,Female,4,1994-05-25,3.91
375,Jacob,Norton,Other,2,2007-09-09,2.64
376,Joshua,Byrd,Other,4,2002-01-31,2.3
377,John,Hart,Female,3,1992-11-28,3.27
378,Erica,Gibson,Female,4,1993-01-18,3.67
379,Megan,Perry,Male,4,1993-01-10,3.81
380,Philip,Allen,Other,4,1996-06-19,3.87
381,Kyle,Baker,Male,3,1995-06-13,3.91
382,David,Garcia,Other,4,2001-12-06,3.87
383,Tanner,Castillo,Other,1,2007-04-06,3.59
384,Madison,Harris,Other,4,2003-03-10,3.77
385,Victoria,Morris,Male,1,2005-09-30,3.63
386,Jeffery,Baker,Male,1,2004-02-26,2.76
387,Amanda,Bennett,Female,4,1994-05-28,3.57
388,Stephen,White,Female,3,1995-05-04,3.06
389,Tyler,Campbell,Male,3,1993-12-14,3.8
390,Kayla,Faulkner,Male,3,1995-03-07,2.45
391,Kimberly,Townsend,Male,4,2002-10-23,2.58
392,Noah,Martin,Female,2,1999-04-30,3.51
393,Kimberly,Hicks,Other,4,2006-12-27,2.54
394,Jesse,Miranda,Male,2,2004-05-14,3.3
395,Kathy,Patterson,Female,1,2001-07-12,2.3
396,Melissa,Turner,Female,3,1997-11-03,3.21
397,Robert,Brown,Other,1,1993-11-11,2.81
398,Maria,Wilson,Male,1,2001-03-24,3.75
399,Lauren,Daniels,Female,3,1999-11-27,3.71
400,Edwin,Ashley,Female,4,1996-01-06,3.6
401,Michele,Cole,Male,2,1997-06-22,2.14
402,Tiffany,Prince,Male,2,2001-01-29,2.36
403,Travis,Soto,Other,3,2006-11-29,3.29
404,Michael,Barber,Other,1,2005-01-07,2.04
405,Willie,Booth,Male,1,2002-03-19,2.38
406,Richard,Wright,Male,2,1997-10-08,2.36
407,Matthew,Jackson,Other,4,1996-05-23,2.56
408,John,Warren,Other,2,1997-10-30,2.6
409,David,Mathis,Male,4,1999-06-15,2.99
410,David,Benson,Female,2,1997-03-21,2.76
411,Raymond,Robinson,Male,4,2004-05-22,3.87
412,Daniel,Murphy,Female,1,1998-07-13,3.5
413,Johnathan,Hampton,Other,3,1994-02-03,3.01
414,Eric,Perez,Male,4,1995-08-30,3.64
415,Christopher,Mccoy,Male,3,1993-07-05,2.74
416,Sierra,Baker,Male,3,2002-11-22,2.21
417,Lucas,Martinez,Male,2,1996-01-24,3.03
418,Wendy,Cook,Male,4,1993-12-21,2.48
419,Kristen,Crawford,Female,4,1994-04-13,2.62
420,Patrick,Hughes,Other,2,1998-06-19,3.94
421,Christopher,Frye,Male,3,2002-01-24,2.96
422,Justin,Oneal,Female,2,1999-07-01,2.04
423,Eric,Kelly,Male,2,2003-10-19,2.91
424,Kenneth,Sandoval,Other,1,1994-02-23,2.8
425,Kayla,Coleman,Male,2,2006-02-09,2.4
426,Rebecca,Owens,Female,1,1993-03-19,2.21
427,Melissa,Evans,Male,2,1993-11-07,3.02
428,Jennifer,Mitchell,Female,4,2004-07-22,2.11
429,Jason,Mcdonald,Female,2,1997-07-31,
430,Daniel,Boyer,Other,4,2000-09-28,3.56
431,Tammy,Ward,Male,1,1994-04-06,3.44
432,Ryan,Harris,Other,1,1998-07-09,3.64
433,Stephanie,Oconnell,Female,3,1993-01-02,2.52
434,Grace,Li,Male,4,2004-09-03,2.87
435,Randall,Campbell,Female,2,2003-03-10,2.55
436,Blake,Pearson,Female,1,2004-03-30,2.02
437,Brian,Fritz,Other,2,2000-09-23,2.73
438,Tanya,Reynolds,Other,1,1994-01-13,2.22
439,Steven,Washington,Female,1,2005-12-26,3.84
440,Jeffrey,Stephens,Other,3,2005-02-01,2.15
441,Jon,Chavez,Other,2,2001-10-25,2.22
442,Ruth,Mckee,Male,2,2004-03-23,2.79
443,Michelle,Holland,Female,1,1993-12-31,2.63
444,Glenn,Barry,Male,4,1995-01-17,2.11
445,Kimberly,Sellers,Female,3,2003-01-29,3.04
446,David,Rodgers,Female,4,1993-07-06,3.41
447,Madison,Garcia,Male,1,2001-07-15,2.34
448,Kaitlyn,King,Male,4,2002-10-25,3.65
449,Valerie,Figueroa,Male,3,2007-10-29,2.68
450,Tony,Campos,Male,2,2005-12-09,2.44
451,Thomas,Smith,Other,4,1998-12-09,2.39
452,Sean,Wright,Other,1,2003-08-04,2.82
453,Peter,Nelson,Female,2,1995-10-20,2.33
454,Karen,Ward,Female,3,2005-12-29,3.15
455,Michael,Webster,Female,1,1998-04-24,3.4
456,Robert,Ayers,Male,1,2003-02-27,2.74
457,Darrell,Petersen,Other,2,2006-08-15,3.96
458,Michael,Jackson,Other,3,1998-05-25,2.03
459,Aaron,Baker,Other,1,1993-08-30,4.0
460,Amanda,Buck,Female,3,2002-10-20,2.49
461,Robert,Curry,Male,1,1994-04-26,3.57
462,Michael,Morton,Female,1,1999-06-01,2.0
463,Brandon,Reyes,Female,3,1993-07-03,3.1
464,Brandon,Perez,Other,1,2007-06-02,3.87
465,Rachel,Diaz,Female,3,2000-05-29,2.16
466,Jeffrey,Castillo,Male,1,2003-07-06,2.93
467,James,Flores,Female,2,2000-02-17,2.26
468,Devon,Clarke,Male,4,1997-03-20,3.36
469,Todd,Bautista,Male,1,1994-09-26,2.28
470,Randall,Duffy,Female,2,2006-09-24,3.78
471,Benjamin,Moyer,Male,4,2004-04-25,2.08
472,Aaron,Cook,Female,1,2006-10-09,3.31
473,Daniel,Gutierrez,Other,4,1993-08-20,3.75
474,Allison,Murray,Male,2,2005-04-16,3.73
475,Joann,Hamilton,Male,2,1994-03-19,3.75
476,Phyllis,Benson,Other,2,1996-10-23,
477,Sara,Young,Female,1,1999-05-27,2.6
478,Kaylee,Lee,Other,1,1993-09-19,3.42
479,Albert,Wade,Male,1,2002-08-19,3.35
480,Amanda,Martinez,Female,2,2006-12-28,2.71
481,Cory,Alexander,Other,3,1994-12-08,3.77
482,Micheal,Dunlap,Male,2,2003-12-10,3.03
483,David,Porter,Female,1,1996-03-24,2.42
484,Joshua,Lucas,Other,1,1993-01-21,3.26
485,John,Goodman,Female,2,1994-03-15,2.16
486,Katherine,Stanley,Other,4,1996-10-22,2.51
487,Lori,Munoz,Female,4,2006-07-06,
488,Melissa,Davis,Male,3,2001-11-03,3.35
489,Krista,Burke,Other,3,2006-10-29,2.4
490,Robert,Hill,Female,1,1997-03-23,3.44
491,Jerry,Liu,Other,1,2006-05-22,3.96
492,Matthew,Johnston,Female,4,1997-11-27,3.93
493,Sandra,Hicks,Other,1,1993-02-19,3.01
494,Angela,Walker,Female,2,2005-01-09,2.61
495,Ruben,Lewis,Male,1,2001-04-26,2.57
496,Laura,Wood,Other,1,2005-05-23,2.45
497,David,Gonzalez,Male,4,1995-04-20,3.66
498,Becky,Mccoy,Other,4,2005-05-12,3.43
499,Ian,Powell,Other,4,2001-03-06,3.46
500,Douglas,Roberson,Female,3,1993-07-31,3.58
501,Billy,Nelson,Male,3,2006-11-05,2.81
502,Ronald,Adams,Other,1,2000-04-08,2.84
503,Paul,Barrett,Other,4,1997-11-22,2.21
504,Desiree,Becker,Female,4,2006-11-07,3.41
505,Jose,Rodriguez,Other,4,1997-10-29,
506,David,Thomas,Other,3,2007-10-14,3.64
507,Robert,Hopkins,Male,1,1999-08-26,2.19
508,Todd,Moore,Other,2,2002-09-10,2.46
509,Jonathan,Chambers,Male,2,1995-04-05,2.17
510,Tanner,Green,Male,3,1996-09-28,3.95
511,Richard,Martinez,Other,2,2003-01-26,2.64
512,Anthony,Price,Male,3,1998-12-22,2.11
